Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters)
F748,Maize,67.9,Rain-fed,1.25,0.98,804.48,Clay,Rabi,28872.47
F749,Maize,162.23,Rain-fed,5.64,1.39,1333.33,Sandy,Rabi,38662.81
F750,Cotton,391.43,Sprinkler,7.77,5.5,3202.91,Clay,Rabi,117937.95
F751,Cotton,276.17,Rain-fed,12.45,4.06,2515.89,Peaty,Zaid,94772.14
F752,Rice,417.84,Rain-fed,5.91,5.36,3948.41,Loamy,Zaid,123363.23
F753,Soybean,64.68,Rain-fed,0.73,0.83,594.91,Sandy,Zaid,21266.24
F754,Sugarcane,461.07,Flood,6.24,4.86,8515.45,Clay,Rabi,66675.27
F755,Cotton,468.11,Rain-fed,20.52,3.21,3603.16,Clay,Zaid,127728.64
F756,Sugarcane,86.1,Rain-fed,3.1,0.93,1714.3,Clay,Zaid,18270.02
F757,Wheat,26.6,Rain-fed,1.28,0.27,159.97,Loamy,Zaid,3575.18
F758,Cotton,495.02,Drip,11.61,6.87,2826.17,Clay,Zaid,87450.48
F759,Carrot,246.3,Flood,4.56,4.4,3803.93,Silty,Kharif,83983.96
F760,Soybean,290.32,Sprinkler,9.43,3.09,1910.7,Silty,Rabi,51872.25
F761,Rice,311.79,Drip,9.83,4.88,2249.18,Clay,Rabi,53761.15
F762,Wheat,396.94,Manual,13.35,6.82,3822.6,Silty,Kharif,127469.42
F763,Soybean,407.87,Flood,9.75,3.33,4908.48,Sandy,Zaid,188389.3
F764,Carrot,105.02,Flood,1.08,1.95,1769.21,Silty,Zaid,43634.81
F765,Soybean,125.95,Manual,1.44,0.76,1504.34,Clay,Zaid,58194.31
F766,Carrot,439.65,Manual,16.07,8.14,6762.09,Peaty,Rabi,146487.29
F767,Carrot,411.56,Manual,12.73,3.07,5730.82,Sandy,Rabi,108641.2
F768,Sugarcane,312.63,Sprinkler,13.39,3.14,7424.95,Loamy,Rabi,122507.48
F769,Potato,497.4,Rain-fed,10.95,7.0,7294.31,Clay,Rabi,101741.52
F770,Wheat,370.24,Flood,15.78,6.88,2210.2,Loamy,Rabi,48583.5
F771,Soybean,115.76,Rain-fed,3.13,1.02,879.38,Peaty,Kharif,27533.05
F772,Barley,424.86,Rain-fed,5.89,6.99,2955.07,Loamy,Rabi,93338.51
F773,Wheat,213.22,Manual,10.47,3.34,2277.24,Clay,Zaid,78936.99
F774,Potato,27.71,Sprinkler,0.84,0.2,475.93,Clay,Rabi,8883.84
F775,Wheat,167.5,Drip,5.89,2.04,1075.49,Peaty,Kharif,26013.06
F776,Maize,384.14,Sprinkler,14.15,4.7,4930.83,Clay,Zaid,178011.17
F777,Barley,480.5,Rain-fed,11.77,4.6,4499.4,Peaty,Kharif,162090.1
F778,Potato,145.31,Sprinkler,5.8,2.43,2391.84,Peaty,Zaid,41132.54
F779,Sugarcane,130.79,Manual,5.86,2.47,3303.75,Clay,Rabi,62110.71
F780,Soybean,286.17,Drip,7.29,4.51,1638.36,Silty,Kharif,39755.24
F781,Tomato,407.73,Manual,14.79,7.99,8561.49,Peaty,Zaid,169547.26
F782,Potato,375.8,Drip,15.14,2.16,5930.96,Clay,Rabi,92395.92
F783,Rice,284.38,Rain-fed,5.01,1.58,3167.22,Silty,Zaid,107539.92
F784,Soybean,319.38,Drip,7.44,5.88,3943.4,Peaty,Kharif,150840.48
F785,Potato,128.63,Drip,1.85,2.38,2159.82,Silty,Kharif,39499.91
F786,Maize,221.96,Drip,7.57,1.47,1274.95,Sandy,Kharif,24206.12
F787,Tomato,135.13,Sprinkler,5.68,1.4,2030.45,Sandy,Kharif,15072.21
F788,Maize,443.36,Sprinkler,15.27,7.77,3656.59,Silty,Rabi,102960.09
F789,Tomato,65.15,Rain-fed,1.12,0.45,1355.16,Peaty,Zaid,26885.72
F790,Rice,343.07,Drip,10.93,3.09,2776.8,Clay,Rabi,73865.15
F791,Soybean,137.54,Flood,5.97,2.09,1062.8,Loamy,Kharif,32154.84
F792,Sugarcane,243.03,Rain-fed,5.37,4.79,5785.0,Clay,Zaid,100563.21
F793,Maize,156.71,Drip,6.79,2.66,1039.8,Loamy,Kharif,22954.53
F794,Maize,168.39,Drip,6.97,2.81,2100.77,Loamy,Rabi,73877.02
F795,Carrot,137.59,Sprinkler,1.5,1.4,1753.33,Peaty,Rabi,28387.69
F796,Tomato,378.87,Rain-fed,7.42,5.65,5683.65,Silty,Rabi,45649.58
F797,Cotton,189.2,Drip,6.0,1.27,984.3,Clay,Zaid,27800.61
F798,Soybean,365.91,Drip,14.16,7.28,4625.32,Silty,Zaid,176013.12
F799,Tomato,233.47,Rain-fed,10.56,2.85,4278.59,Sandy,Kharif,65496.44
F800,Carrot,278.15,Flood,9.91,4.06,3555.57,Peaty,Zaid,56346.42
F801,Wheat,276.21,Rain-fed,6.96,5.01,2554.25,Peaty,Zaid,85213.37
F802,Tomato,488.17,Rain-fed,8.49,2.45,9754.96,Sandy,Rabi,182056.54
F803,Sugarcane,189.86,Flood,7.67,3.73,3855.06,Clay,Kharif,43196.96
F804,Soybean,111.77,Rain-fed,2.04,1.16,1175.45,Sandy,Rabi,43600.56
F805,Carrot,456.78,Drip,17.27,4.61,5865.15,Clay,Kharif,91767.09
F806,Wheat,95.67,Rain-fed,1.65,0.69,574.52,Loamy,Kharif,13866.1
F807,Barley,418.87,Flood,5.71,7.49,3746.01,Peaty,Zaid,133988.62
F808,Carrot,83.61,Manual,1.68,1.51,984.46,Clay,Rabi,13414.26
F809,Barley,332.77,Rain-fed,7.12,1.76,4036.28,Silty,Zaid,158465.41
F810,Soybean,83.76,Sprinkler,3.01,0.49,420.77,Silty,Zaid,8391.54
F811,Maize,462.31,Drip,7.6,8.68,5303.05,Peaty,Zaid,185978.17
F812,Carrot,286.85,Drip,13.54,1.96,3758.64,Sandy,Kharif,60752.61
F813,Rice,171.34,Sprinkler,5.51,2.45,2138.91,Sandy,Rabi,75123.24
F814,Barley,78.76,Sprinkler,2.33,1.13,410.76,Clay,Rabi,9770.77
F815,Sugarcane,191.88,Rain-fed,5.26,3.46,4827.61,Sandy,Zaid,92334.72
F816,Rice,355.46,Sprinkler,11.61,4.83,2339.53,Peaty,Kharif,49962.7
F817,Potato,198.63,Manual,2.16,2.29,3737.29,Clay,Rabi,82460.17
F818,Potato,130.59,Flood,6.48,2.56,2224.76,Loamy,Rabi,40081.7
F819,Wheat,292.93,Sprinkler,9.46,2.47,2532.76,Sandy,Zaid,79723.39
F820,Maize,214.73,Sprinkler,2.45,1.92,1631.04,Sandy,Kharif,45536.72
F821,Soybean,91.25,Manual,3.07,0.57,1059.44,Clay,Zaid,39832.83
F822,Carrot,85.45,Drip,2.35,1.68,1056.13,Silty,Rabi,15373.24
F823,Cotton,356.66,Drip,3.91,5.56,3502.66,Sandy,Kharif,138559.76
F824,Sugarcane,487.59,Rain-fed,22.91,2.53,10413.25,Peaty,Zaid,135704.21
F825,Barley,124.22,Manual,1.29,1.93,1545.83,Sandy,Rabi,62033.27
F826,Soybean,388.84,Flood,12.88,4.3,3831.24,Loamy,Zaid,133979.53
F827,Rice,52.93,Flood,2.57,1.03,348.94,Sandy,Zaid,7498.52
F828,Potato,196.97,Manual,3.84,1.8,3142.64,Silty,Zaid,52750.82
F829,Sugarcane,258.28,Flood,5.21,4.04,4673.47,Sandy,Kharif,32677.13
F830,Cotton,141.69,Drip,1.42,2.04,904.26,Clay,Rabi,30357.96
F831,Carrot,269.49,Flood,3.41,1.4,3582.17,Sandy,Rabi,63957.99
F832,Wheat,442.48,Flood,5.22,8.09,5267.71,Silty,Rabi,195253.91
F833,Cotton,472.77,Manual,20.28,3.35,5193.84,Clay,Rabi,205749.14
F834,Sugarcane,59.27,Manual,2.58,0.89,1058.93,Peaty,Kharif,6201.3
F835,Cotton,143.2,Flood,5.59,2.38,1215.93,Clay,Zaid,44810.33
F836,Sugarcane,489.78,Sprinkler,11.81,7.08,9569.16,Loamy,Rabi,92772.07
F837,Sugarcane,142.51,Manual,6.11,0.92,2897.72,Clay,Kharif,32496.45
F838,Tomato,349.43,Rain-fed,11.04,6.86,5170.48,Peaty,Zaid,37968.87
F839,Barley,134.19,Rain-fed,2.98,1.15,1414.35,Sandy,Kharif,53663.28
F840,Potato,184.62,Drip,5.08,2.66,3753.56,Clay,Kharif,88660.74
F841,Tomato,103.73,Flood,1.31,1.76,1691.19,Clay,Rabi,19470.21
F842,Carrot,429.59,Sprinkler,20.53,8.2,5842.08,Clay,Rabi,101687.19
F843,Tomato,442.5,Drip,15.38,6.22,7264.67,Clay,Zaid,80788.43
F844,Maize,155.49,Flood,6.1,1.38,2024.09,Peaty,Zaid,73392.95
F845,Maize,413.56,Manual,15.33,7.26,2323.67,Silty,Rabi,42903.6
F846,Potato,185.54,Rain-fed,6.81,1.38,3230.64,Silty,Kharif,61885.39
F847,Cotton,58.52,Sprinkler,0.63,0.31,648.14,Clay,Rabi,26234.63
F848,Barley,381.46,Rain-fed,11.83,7.1,2331.74,Peaty,Zaid,66573.05
F849,Potato,302.26,Manual,12.96,4.12,5287.11,Peaty,Kharif,101558.34
F850,Sugarcane,144.45,Flood,1.7,0.87,2595.91,Clay,Kharif,17371.13
F851,Rice,133.97,Manual,6.46,1.83,1657.42,Loamy,Kharif,57048.93
F852,Barley,488.06,Manual,13.16,3.5,3343.0,Clay,Rabi,102380.2
F853,Barley,432.63,Rain-fed,9.34,2.37,5436.54,Loamy,Rabi,214366.53
F854,Sugarcane,406.8,Sprinkler,12.72,2.75,10217.23,Clay,Zaid,190709.96
F855,Sugarcane,72.73,Manual,3.06,1.21,1720.52,Loamy,Kharif,28582.83
F856,Wheat,380.04,Rain-fed,11.02,6.21,3476.49,Loamy,Kharif,113532.56
F857,Potato,115.12,Sprinkler,4.12,1.62,2177.81,Clay,Rabi,46813.81
F858,Sugarcane,488.92,Flood,14.67,3.98,9187.03,Loamy,Zaid,74435.04
F859,Maize,35.52,Flood,1.25,0.57,282.25,Sandy,Zaid,7960.15
F860,Carrot,182.55,Drip,2.83,2.03,1989.04,Silty,Kharif,20218.74
F861,Rice,220.04,Rain-fed,2.54,2.79,2348.81,Peaty,Rabi,78775.57
F862,Potato,413.86,Sprinkler,6.4,7.64,7905.84,Loamy,Kharif,174737.68
F863,Soybean,385.45,Manual,8.26,4.57,4789.65,Loamy,Rabi,184442.91
F864,Maize,193.75,Flood,3.9,2.79,2111.82,Peaty,Zaid,72577.87
F865,Cotton,287.12,Sprinkler,9.94,5.58,2918.71,Loamy,Kharif,112793.0
F866,Sugarcane,419.44,Rain-fed,11.84,4.94,10403.92,Peaty,Kharif,192180.74
F867,Soybean,18.92,Drip,0.22,0.25,232.56,Clay,Kharif,8977.46
F868,Sugarcane,403.07,Flood,4.59,5.55,8629.77,Sandy,Zaid,119517.11
F869,Barley,473.98,Sprinkler,6.46,4.08,2583.88,Sandy,Kharif,68212.67
F870,Maize,25.71,Sprinkler,0.62,0.41,237.22,Silty,Zaid,7368.1
F871,Barley,32.33,Sprinkler,0.33,0.51,293.69,Loamy,Rabi,10425.66
F872,Wheat,178.81,Rain-fed,5.32,1.47,1826.71,Silty,Zaid,63052.27
F873,Barley,53.01,Rain-fed,1.29,0.28,664.4,Clay,Rabi,26276.35
F874,Wheat,244.85,Rain-fed,7.89,4.89,3038.11,Sandy,Zaid,114348.94
F875,Wheat,367.07,Manual,14.25,5.04,3072.51,Clay,Zaid,94903.91
F876,Soybean,287.78,Sprinkler,5.77,2.22,1661.87,Clay,Kharif,41837.97
F877,Sugarcane,106.25,Flood,1.73,0.98,2056.06,Loamy,Zaid,19753.95
F878,Cotton,330.86,Rain-fed,6.99,4.72,1802.04,Clay,Kharif,56086.92
F879,Barley,345.58,Rain-fed,3.48,2.44,2525.31,Sandy,Rabi,83770.03
F880,Maize,466.9,Sprinkler,6.91,2.6,5833.26,Silty,Rabi,210382.47
F881,Wheat,81.93,Rain-fed,3.28,1.39,709.77,Sandy,Kharif,22546.24
F882,Sugarcane,349.24,Manual,6.61,5.5,7740.07,Loamy,Rabi,114171.92
F883,Rice,456.6,Manual,22.73,4.4,3284.13,Sandy,Zaid,78382.92
F884,Potato,255.77,Rain-fed,4.27,1.5,4222.41,Peaty,Kharif,75998.26
F885,Soybean,187.28,Sprinkler,7.78,2.3,2257.6,Silty,Kharif,84174.03
F886,Cotton,93.67,Sprinkler,3.58,0.86,984.99,Peaty,Kharif,38346.0
F887,Tomato,434.73,Sprinkler,9.95,4.77,6677.26,Peaty,Rabi,57590.83
F888,Soybean,203.18,Drip,4.72,1.85,2412.79,Loamy,Rabi,90380.66
F889,Rice,463.19,Rain-fed,15.07,3.53,3630.54,Clay,Zaid,97053.28
F890,Potato,425.4,Sprinkler,18.76,4.6,7732.13,Peaty,Zaid,155818.85
F891,Rice,194.55,Manual,4.95,3.79,1308.61,Sandy,Kharif,30847.08
F892,Barley,291.22,Flood,3.62,2.62,2894.63,Clay,Zaid,107709.24
F893,Wheat,23.32,Flood,0.58,0.23,126.26,Sandy,Rabi,2664.48
F894,Cotton,138.98,Sprinkler,2.54,1.38,1235.75,Sandy,Zaid,47288.53
F895,Carrot,358.03,Flood,17.03,4.37,5732.64,Clay,Rabi,128310.71
F896,Wheat,342.18,Flood,12.97,6.04,2455.51,Clay,Zaid,67682.03
F897,Carrot,183.15,Drip,2.2,2.02,3311.18,Sandy,Rabi,86958.36
F898,Potato,406.22,Manual,8.82,6.94,5285.0,Loamy,Rabi,48091.72
F899,Sugarcane,125.56,Manual,1.51,0.84,3098.76,Silty,Zaid,57341.06
F900,Tomato,236.02,Drip,10.2,4.35,4228.47,Silty,Zaid,59656.83
F901,Maize,241.54,Drip,11.17,1.88,2772.39,Loamy,Rabi,93129.59
F902,Wheat,177.0,Flood,2.56,0.99,1823.38,Clay,Kharif,63829.71
F903,Cotton,477.79,Rain-fed,13.19,3.52,2587.09,Sandy,Zaid,79932.94
F904,Rice,351.38,Flood,16.61,2.76,2967.93,Silty,Rabi,79972.89
F905,Cotton,274.21,Drip,4.33,3.46,2280.3,Sandy,Zaid,85516.98
F906,Potato,260.15,Manual,5.64,3.06,5047.02,Loamy,Zaid,114103.91
F907,Carrot,88.06,Flood,1.95,1.39,1602.52,Sandy,Zaid,42437.62
F908,Rice,192.37,Rain-fed,2.16,1.11,1097.87,Loamy,Zaid,20821.27
F909,Maize,339.66,Flood,3.89,4.23,2766.41,Clay,Zaid,81865.72
F910,Maize,463.04,Sprinkler,22.28,4.62,5135.15,Loamy,Kharif,170054.73
F911,Wheat,410.07,Flood,13.47,5.93,3892.03,Loamy,Kharif,127568.59
F912,Potato,157.19,Drip,3.5,0.89,3190.24,Silty,Kharif,75012.94
F913,Sugarcane,222.64,Manual,5.6,1.23,3949.69,Sandy,Rabi,23775.1
F914,Potato,50.63,Manual,1.95,0.58,823.56,Silty,Kharif,13927.98
F915,Carrot,60.06,Drip,1.48,1.03,965.01,Peaty,Kharif,22074.97
F916,Cotton,240.41,Sprinkler,4.59,3.62,1430.06,Loamy,Rabi,44965.26
F917,Maize,269.81,Drip,3.8,1.42,3041.76,Peaty,Kharif,105318.97
F918,Cotton,139.37,Flood,5.46,1.07,689.91,Silty,Zaid,18465.77
F919,Cotton,324.96,Drip,5.6,2.73,2512.26,Sandy,Kharif,91124.78
F920,Cotton,354.66,Drip,4.53,4.02,3393.4,Silty,Kharif,131398.11
F921,Maize,156.57,Sprinkler,4.24,2.16,1189.8,Sandy,Kharif,32362.83
F922,Soybean,381.63,Flood,4.42,3.15,2018.31,Sandy,Zaid,49435.56
F923,Barley,110.75,Rain-fed,5.38,1.19,1375.78,Clay,Zaid,53469.32
F924,Carrot,276.68,Rain-fed,9.71,3.81,4985.84,Loamy,Zaid,128804.1
F925,Soybean,404.1,Manual,6.51,4.34,4920.93,Silty,Zaid,190147.37
F926,Carrot,273.13,Drip,4.62,1.95,5042.54,Sandy,Rabi,134218.53
F927,Rice,454.9,Manual,14.92,5.63,3262.92,Silty,Zaid,79097.96
F928,Potato,38.67,Sprinkler,0.94,0.38,540.42,Silty,Zaid,6306.76
F929,Potato,298.27,Rain-fed,12.22,5.36,3852.98,Sandy,Zaid,33909.5
F930,Tomato,285.26,Drip,9.08,4.75,6244.16,Peaty,Zaid,130286.63
F931,Potato,333.57,Sprinkler,9.12,2.62,6276.91,Loamy,Rabi,133797.9
F932,Maize,418.37,Sprinkler,20.3,3.05,4527.75,Loamy,Kharif,147811.97
F933,Sugarcane,365.67,Drip,9.37,3.74,9195.01,Clay,Kharif,172255.4
F934,Wheat,397.24,Sprinkler,10.34,4.44,3887.08,Clay,Zaid,131100.89
F935,Tomato,151.52,Drip,5.55,2.88,2394.62,Clay,Zaid,23014.75
F936,Wheat,199.87,Drip,8.47,1.9,1362.21,Loamy,Zaid,34127.6
F937,Carrot,317.12,Flood,11.11,5.71,3740.06,Peaty,Kharif,48479.38
F938,Wheat,281.2,Manual,10.67,3.54,2175.64,Loamy,Kharif,62724.51
F939,Wheat,480.94,Sprinkler,11.98,8.79,3967.98,Loamy,Zaid,121100.31
F940,Tomato,101.55,Sprinkler,2.96,1.58,2147.92,Loamy,Kharif,42522.14
F941,Rice,182.13,Flood,3.26,2.85,1308.8,Loamy,Rabi,32145.59
F942,Cotton,290.65,Flood,10.82,3.72,2921.69,Peaty,Zaid,113395.98
F943,Potato,435.3,Flood,8.21,7.66,7181.56,Clay,Zaid,129063.37
F944,Potato,465.38,Rain-fed,4.68,4.1,9554.84,Silty,Rabi,232627.08
F945,Maize,174.66,Rain-fed,8.27,3.25,2056.71,Clay,Rabi,71720.25
F946,Tomato,42.88,Rain-fed,0.95,0.62,956.98,Clay,Kharif,20909.02
F947,Maize,216.59,Drip,3.87,2.51,1786.25,Silty,Rabi,51319.83
F948,Sugarcane,203.23,Sprinkler,4.21,4.01,3792.45,Loamy,Zaid,30325.79
F949,Sugarcane,493.38,Manual,11.46,8.85,10681.21,Peaty,Kharif,149177.14
F950,Maize,221.22,Drip,6.41,3.67,1450.32,Peaty,Rabi,33115.7
F951,Tomato,159.8,Sprinkler,2.04,1.46,2963.49,Clay,Kharif,47458.78
F952,Maize,189.03,Sprinkler,2.29,3.71,1430.53,Silty,Kharif,39314.8
F953,Potato,204.49,Flood,4.44,3.3,3374.9,Sandy,Kharif,60615.85
F954,Soybean,412.55,Flood,9.01,5.81,5148.48,Loamy,Kharif,197966.26
F955,Barley,49.7,Drip,0.73,0.94,344.57,Clay,Rabi,10715.41
F956,Wheat,165.09,Flood,4.32,1.23,2166.74,Peaty,Zaid,82110.64
F957,Barley,483.5,Sprinkler,10.33,3.43,3159.29,Silty,Zaid,92701.56
F958,Tomato,85.02,Flood,0.94,1.14,1381.82,Silty,Rabi,15579.39
F959,Barley,373.87,Rain-fed,16.98,2.19,3407.56,Clay,Zaid,118860.51
F960,Sugarcane,184.63,Flood,8.39,2.76,4524.43,Sandy,Kharif,80650.93
F961,Carrot,295.07,Sprinkler,5.42,2.54,4918.05,Peaty,Kharif,117971.36
F962,Wheat,58.78,Drip,0.97,0.4,643.63,Clay,Kharif,22889.23
F963,Cotton,160.14,Manual,5.11,1.78,1025.35,Sandy,Rabi,34118.7
F964,Tomato,255.42,Flood,9.0,3.06,3820.12,Silty,Kharif,27842.91
F965,Wheat,123.53,Sprinkler,5.97,0.93,833.57,Loamy,Kharif,20345.85
F966,Barley,275.52,Manual,6.91,1.55,2055.26,Peaty,Rabi,66065.86
F967,Sugarcane,117.68,Manual,4.09,1.32,2999.44,Peaty,Kharif,57508.11
F968,Rice,328.55,Rain-fed,14.83,5.39,4290.87,Sandy,Kharif,153731.81
F969,Soybean,453.13,Manual,12.69,8.21,2902.23,Clay,Zaid,81680.89
F970,Cotton,51.89,Sprinkler,0.77,0.34,518.1,Silty,Rabi,20249.8
F971,Soybean,116.14,Sprinkler,2.91,1.49,1101.53,Sandy,Kharif,38513.42
F972,Wheat,423.77,Flood,6.55,3.79,2350.04,Loamy,Kharif,50825.4
F973,Sugarcane,319.46,Flood,3.41,3.39,6573.59,Loamy,Kharif,79444.33
F974,Sugarcane,48.57,Flood,1.95,0.92,1054.01,Loamy,Kharif,14299.67
F975,Barley,248.31,Manual,4.85,2.55,2447.37,Sandy,Zaid,91137.7
F976,Potato,112.78,Manual,1.14,1.18,1678.02,Silty,Zaid,24582.12
F977,Barley,107.56,Rain-fed,4.83,0.88,1316.0,Peaty,Zaid,50931.3
F978,Potato,470.92,Flood,13.07,9.14,7651.84,Clay,Zaid,132210.49
F979,Potato,383.16,Drip,7.49,4.54,5628.22,Peaty,Rabi,76405.72
F980,Cotton,351.15,Rain-fed,7.2,4.76,2326.34,Silty,Kharif,79561.17
F981,Barley,127.08,Drip,2.49,1.5,1358.01,Peaty,Zaid,50925.88
F982,Rice,68.1,Manual,1.21,0.6,725.15,Sandy,Kharif,24251.72
F983,Maize,436.71,Rain-fed,19.06,7.49,5037.49,Loamy,Rabi,173316.83
F984,Maize,12.88,Rain-fed,0.22,0.07,99.53,Silty,Kharif,2794.36
F985,Barley,200.17,Sprinkler,6.5,3.07,1480.94,Silty,Kharif,46186.48
F986,Barley,146.03,Manual,1.91,2.03,1122.5,Peaty,Zaid,37776.19
F987,Soybean,289.48,Manual,13.89,2.07,1870.39,Sandy,Zaid,50786.32
F988,Cotton,132.75,Rain-fed,4.53,0.99,1292.84,Peaty,Rabi,49969.14
F989,Barley,162.49,Manual,7.5,2.42,1207.17,Peaty,Kharif,37655.55
F990,Soybean,426.52,Rain-fed,11.05,4.13,3172.52,Silty,Zaid,98310.4
F991,Potato,305.56,Sprinkler,12.96,2.75,4582.64,Peaty,Zaid,63479.39
F992,Sugarcane,81.38,Rain-fed,3.59,0.48,1743.92,Loamy,Zaid,22879.7
F993,Sugarcane,365.97,Manual,13.95,6.04,8750.83,Peaty,Rabi,149605.47
F994,Potato,111.66,Manual,1.53,2.04,2149.35,Loamy,Kharif,48485.46
F995,Tomato,222.17,Rain-fed,2.36,3.84,4647.69,Silty,Zaid,93713.03
F996,Soybean,326.84,Rain-fed,5.47,3.92,3156.44,Sandy,Kharif,113895.51
F997,Soybean,143.25,Rain-fed,2.11,1.86,1005.9,Loamy,Rabi,30392.54
F998,Potato,198.21,Flood,7.73,1.71,3689.72,Sandy,Kharif,78084.18
F999,Rice,369.73,Manual,11.94,2.81,2196.35,Sandy,Zaid,42794.7
F1000,Carrot,469.58,Manual,14.57,8.14,8025.76,Loamy,Kharif,196875.04
F1001,Wheat,269.33,Flood,5.42,4.57,3065.46,Silty,Kharif,110988.51
F1002,Potato,14.89,Rain-fed,0.24,0.25,266.15,Clay,Rabi,5477.97
F1003,Barley,175.85,Sprinkler,3.21,2.1,948.46,Sandy,Rabi,24472.69
F1004,Barley,205.33,Rain-fed,5.34,3.69,2571.34,Sandy,Kharif,102447.05
F1005,Cotton,176.2,Rain-fed,6.98,3.33,1811.54,Silty,Kharif,70929.74
F1006,Potato,223.77,Flood,4.52,2.22,4148.76,Silty,Kharif,88148.78
F1007,Cotton,320.01,Manual,12.14,2.68,1526.59,Peaty,Rabi,40193.82
F1008,Potato,69.35,Rain-fed,2.06,0.83,1100.7,Silty,Rabi,17995.79
F1009,Soybean,143.59,Manual,6.52,1.1,809.79,Sandy,Kharif,19308.29
F1010,Wheat,258.75,Drip,5.0,4.72,2097.94,Loamy,Rabi,63241.73
F1011,Soybean,164.63,Manual,4.62,1.66,1545.55,Clay,Zaid,54030.92
F1012,Carrot,495.63,Sprinkler,6.87,6.76,8753.34,Peaty,Rabi,223801.99
F1013,Sugarcane,221.4,Sprinkler,5.18,3.08,4430.02,Loamy,Rabi,47197.27
F1014,Maize,436.2,Rain-fed,13.21,5.55,4550.17,Clay,Rabi,152393.94
F1015,Potato,449.29,Manual,17.66,3.3,6307.87,Clay,Zaid,74519.55
F1016,Carrot,419.64,Rain-fed,7.52,8.34,5591.96,Clay,Zaid,101379.79
F1017,Sugarcane,32.98,Flood,0.62,0.25,832.25,Loamy,Zaid,15794.02
F1018,Tomato,474.4,Sprinkler,16.73,7.72,9850.55,Peaty,Kharif,189310.7
F1019,Wheat,73.08,Rain-fed,1.85,1.23,691.97,Peaty,Kharif,23264.22
F1020,Cotton,26.86,Flood,0.79,0.19,166.42,Clay,Zaid,5389.78
F1021,Cotton,213.04,Rain-fed,9.26,4.05,1559.08,Loamy,Kharif,53661.24
F1022,Soybean,105.37,Manual,3.16,1.3,643.43,Clay,Kharif,17141.42
F1023,Barley,100.26,Manual,3.62,1.45,758.26,Silty,Kharif,24200.56
F1024,Sugarcane,151.03,Manual,5.48,2.21,2854.7,Peaty,Zaid,24203.29
F1025,Tomato,131.72,Manual,5.55,1.66,2776.88,Sandy,Rabi,55074.61
F1026,Carrot,345.55,Drip,12.28,2.46,3952.7,Clay,Zaid,45717.49
F1027,Wheat,101.52,Flood,1.28,1.65,667.72,Silty,Zaid,17843.53
F1028,Sugarcane,276.13,Flood,6.54,3.79,6402.76,Peaty,Kharif,103952.98
F1029,Tomato,493.35,Manual,24.46,3.35,10906.16,Loamy,Kharif,227437.19
F1030,Maize,221.87,Drip,3.96,3.44,2927.12,Peaty,Rabi,107791.31
F1031,Potato,324.52,Manual,10.86,5.04,6305.16,Loamy,Rabi,140973.52
F1032,Cotton,484.99,Drip,21.2,6.42,2969.04,Loamy,Rabi,89524.07
F1033,Carrot,77.44,Manual,2.59,0.49,1006.32,Clay,Rabi,16594.86
F1034,Cotton,215.12,Sprinkler,5.35,2.21,2397.33,Clay,Zaid,96437.35
F1035,Carrot,426.59,Sprinkler,5.63,2.46,7577.61,Peaty,Rabi,194413.17
F1036,Soybean,466.83,Rain-fed,11.42,5.68,4637.7,Silty,Zaid,166313.37
F1037,Barley,304.61,Manual,5.26,5.66,2151.0,Peaty,Kharif,68675.31
F1038,Carrot,80.28,Flood,3.89,0.4,1013.47,Sandy,Rabi,15222.17
F1039,Cotton,451.72,Rain-fed,17.44,4.07,5009.62,Loamy,Kharif,199169.73
F1040,Soybean,95.48,Sprinkler,3.82,1.62,639.79,Loamy,Kharif,17386.88
F1041,Carrot,182.91,Manual,5.02,0.94,2913.48,Clay,Zaid,66711.31
F1042,Maize,194.0,Rain-fed,2.79,1.0,2545.92,Silty,Rabi,94512.65
F1043,Barley,229.17,Manual,4.74,3.25,2336.46,Clay,Zaid,87570.74
F1044,Carrot,397.18,Sprinkler,8.1,6.69,5029.89,Sandy,Kharif,80654.85
F1045,Soybean,403.05,Rain-fed,11.88,6.71,2864.03,Peaty,Rabi,85850.76
F1046,Sugarcane,362.63,Sprinkler,10.31,6.05,6698.01,Peaty,Kharif,49737.71
F1047,Rice,20.84,Drip,0.57,0.22,234.85,Silty,Kharif,7805.62
F1048,Tomato,286.77,Sprinkler,8.56,5.23,5411.85,Clay,Rabi,88146.98
F1049,Rice,376.27,Manual,18.62,1.95,2819.04,Clay,Rabi,68702.93
F1050,Rice,227.87,Flood,5.0,2.21,1692.54,Sandy,Rabi,43537.82
F1051,Wheat,473.02,Sprinkler,16.37,4.76,2530.13,Peaty,Zaid,49009.38
F1052,Maize,413.67,Flood,8.1,3.1,5473.46,Clay,Zaid,203262.7
F1053,Sugarcane,322.7,Drip,9.25,3.24,7878.08,Silty,Kharif,139148.85
F1054,Potato,40.59,Rain-fed,0.73,0.56,637.89,Peaty,Rabi,10458.32
F1055,Carrot,329.65,Rain-fed,10.66,4.22,5992.68,Sandy,Kharif,157716.25
F1056,Tomato,456.67,Flood,9.41,4.47,9171.11,Silty,Kharif,169356.63
F1057,Barley,195.93,Rain-fed,2.25,3.18,2066.01,Loamy,Kharif,78485.92
